Hotel_Name,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Mataura,NZ,76.59,clear sky,-46.1927,168.8643,Ellie's Villa
9,Rikitea,PF,78.39,few clouds,-23.1203,-134.9692,Pension Maro'i
13,Ulladulla,AU,89.01,clear sky,-35.35,150.4667,Sandpiper Motel
15,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
18,Barreirinha,BR,75.87,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
19,Cidreira,BR,77.94,moderate rain,-30.1811,-50.2056,Hotel Castelo
29,Hilo,US,80.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Butaritari,KI,80.69,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Kloulklubed,PW,78.8,moderate rain,7.0419,134.2556,Storyboard Beach Resort
38,Mana,GF,77.4,scattered clouds,5.6592,-53.7767,LE SAMANA
43,Sinnamary,GF,77.47,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
44,Labuhan,ID,83.21,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
47,Omboue,GA,77.61,moderate rain,-1.5746,9.2618,Hotel Olako
54,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
64,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
72,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
75,Acarau,BR,77.52,scattered clouds,-2.8856,-40.12,castelo pizzaria
77,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
78,Cap Malheureux,MU,80.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
79,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
80,Moree,AU,82.4,clear sky,-29.4667,149.85,Molika Springs Motel
81,Tevaitoa,PF,80.74,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
82,Luanda,AO,75.2,clear sky,-8.8368,13.2343,EPIC SANA Luanda
86,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.1667,Hotel Cortez
100,Hithadhoo,MV,80.96,broken clouds,-0.6,73.0833,Scoop Guest House
104,Arraial Do Cabo,BR,77.0,few clouds,-22.9661,-42.0278,Pousada Porto Praia
114,Hambantota,LK,75.2,light rain,6.1241,81.1185,Bungalow 63
125,Bambous Virieux,MU,80.01,moderate rain,-20.3428,57.7575,Casa Tia Villa
127,Finschhafen,PG,85.05,overcast clouds,-6.6024,147.8681,Cossam Guest House
128,Kralendijk,BQ,78.8,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
139,Haapiti,PF,84.2,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
147,Libreville,GA,80.6,light rain,0.3925,9.4537,Hotel Re-Ndama
149,Namatanai,PG,84.63,light rain,-3.6667,152.4333,Namatanai Hotel
153,Reconquista,AR,76.68,overcast clouds,-29.15,-59.65,Grand Hotel
