City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Busselton,-33.65,115.3333,70.0,57,0,1.99,AU,clear sky
1,Iranshahr,27.2025,60.6848,39.2,12,0,9.22,IR,clear sky
2,Santa Cruz,-17.8,-63.1667,77.0,88,100,10.36,BO,overcast clouds
3,Saldanha,-33.0117,17.9442,64.4,72,0,4.61,ZA,clear sky
4,Karakol,42.4907,78.3936,18.32,56,0,2.84,KG,clear sky
5,Evensk,61.95,159.2333,5.92,87,100,9.4,RU,overcast clouds
6,Alofi,-19.0595,-169.9187,84.2,70,75,10.36,NU,broken clouds
7,Ribeira Grande,38.5167,-28.7,62.74,87,100,20.89,PT,overcast clouds
8,Rikitea,-23.1203,-134.9692,78.4,75,15,19.44,PF,few clouds
9,Dikson,73.5069,80.5464,8.76,96,99,5.53,RU,overcast clouds
10,Vermillion,42.7794,-96.9292,37.4,70,1,6.91,US,clear sky
11,Arlit,18.7369,7.3853,67.89,22,0,2.06,NE,clear sky
12,Atuona,-9.8,-139.0333,77.63,80,2,15.79,PF,clear sky
13,Albany,42.6001,-73.9662,30.0,68,61,3.09,US,broken clouds
14,Anadyr,64.75,177.4833,-25.01,68,64,17.9,RU,snow
15,Salinas,36.6777,-121.6555,59.0,67,1,16.11,US,clear sky
16,Beira,-19.8436,34.8389,82.4,78,20,17.27,MZ,moderate rain
17,Tuktoyaktuk,69.4541,-133.0374,1.4,92,90,24.16,CA,snow
18,Poum,-20.2333,164.0167,83.01,76,100,3.38,NC,overcast clouds
19,Paraopeba,-19.2757,-44.4033,77.0,83,75,5.75,BR,moderate rain
20,Banda Aceh,5.5577,95.3222,78.37,80,100,11.5,ID,overcast clouds
21,Castro,-24.7911,-50.0119,67.06,97,4,7.58,BR,clear sky
22,Carnarvon,-24.8667,113.6333,78.8,83,90,19.57,AU,overcast clouds
23,Qandala,11.472,49.8728,70.9,56,0,7.74,SO,clear sky
24,Hami,42.8,93.45,11.59,85,0,1.45,CN,clear sky
25,Nikolskoye,59.7035,30.7861,9.0,85,75,8.95,RU,broken clouds
