City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Severo-Kurilsk,RU,2021-01-12 15:17:59,50.6789,156.125,17.83,90,96,15.75
1,Ushuaia,AR,2021-01-12 15:17:59,-54.8,-68.3,46.4,46,75,14.97
2,Olafsvik,IS,2021-01-12 15:17:59,64.8945,-23.7142,35.1,82,83,15.37
3,Mahebourg,MU,2021-01-12 15:16:16,-20.4081,57.7,80.6,89,40,17.27
4,Upernavik,GL,2021-01-12 15:17:59,72.7868,-56.1549,19.53,96,100,3.29
5,Barrow,US,2021-01-12 15:15:01,71.2906,-156.7887,1.4,78,90,23.02
6,Ballina,AU,2021-01-12 15:18:00,-28.8667,153.5667,66.2,88,40,3.44
7,Formosa Do Rio Preto,BR,2021-01-12 15:18:00,-11.0483,-45.1931,97.84,39,7,0.81
8,Spornoye,RU,2021-01-12 15:18:00,50.8448,37.2913,26.6,80,75,4.47
9,Rikitea,PF,2021-01-12 15:18:01,-23.1203,-134.9692,77.59,78,8,18.66
10,Mackay,AU,2021-01-12 15:18:01,-21.15,149.2,78.8,83,75,16.11
11,Tuktoyaktuk,CA,2021-01-12 15:18:01,69.4541,-133.0374,1.4,85,90,17.27
12,Albany,US,2021-01-12 15:15:30,42.6001,-73.9662,33.01,65,100,6.55
13,Lata,PT,2021-01-12 15:18:01,40.1629,-8.3327,55.99,56,0,3.0
14,Mormugao,IN,2021-01-12 15:18:02,15.4,73.8,82.4,65,40,4.61
15,Chapais,CA,2021-01-12 15:17:43,49.7834,-74.8492,21.2,93,90,6.91
16,Tutoia,BR,2021-01-12 15:18:02,-2.7619,-42.2744,89.6,58,20,14.97
17,La Ronge,CA,2021-01-12 15:18:02,55.1001,-105.2842,28.4,74,0,6.91
18,Provideniya,RU,2021-01-12 15:18:02,64.3833,-173.3,-10.44,83,99,10.54
19,Torbay,CA,2021-01-12 15:18:02,47.6666,-52.7314,30.0,74,90,6.91
20,Port Alfred,ZA,2021-01-12 15:18:03,-33.5906,26.891,69.01,95,98,3.0
21,Avarua,CK,2021-01-12 15:18:03,-21.2078,-159.775,78.8,78,61,8.05
22,Vao,NC,2021-01-12 15:18:03,-22.6667,167.4833,78.33,84,100,18.75
23,Staryy Nadym,RU,2021-01-12 15:18:03,65.6118,72.6842,-3.44,93,93,10.96
24,Brownfield,US,2021-01-12 15:18:03,33.1812,-102.2744,23.0,93,66,6.91
25,Natitingou,BJ,2021-01-12 15:18:04,10.3042,1.3796,95.0,10,0,4.61
